image_path,fruit_id,storage_condition,day,stage,view,timestamp,file_stem
data/Avocado Ripening Dataset/T10_d01_002_a_1.jpg,T10_002,T10,1,1,a,2022-04-04 11:00:36,T10_d01_002_a_1
data/Avocado Ripening Dataset/T10_d01_002_b_1.jpg,T10_002,T10,1,1,b,2022-04-04 11:00:50,T10_d01_002_b_1
data/Avocado Ripening Dataset/T10_d02_002_a_1.jpg,T10_002,T10,2,1,a,2022-04-05 12:10:10,T10_d02_002_a_1
data/Avocado Ripening Dataset/T10_d02_002_b_1.jpg,T10_002,T10,2,1,b,2022-04-05 12:10:41,T10_d02_002_b_1
data/Avocado Ripening Dataset/T10_d03_002_a_1.jpg,T10_002,T10,3,1,a,2022-04-06 12:10:05,T10_d03_002_a_1
data/Avocado Ripening Dataset/T10_d03_002_b_1.jpg,T10_002,T10,3,1,b,2022-04-06 12:10:16,T10_d03_002_b_1
data/Avocado Ripening Dataset/T10_d04_002_a_1.jpg,T10_002,T10,4,1,a,2022-04-07 11:39:56,T10_d04_002_a_1
data/Avocado Ripening Dataset/T10_d04_002_b_1.jpg,T10_002,T10,4,1,b,2022-04-07 11:40:24,T10_d04_002_b_1
data/Avocado Ripening Dataset/T10_d05_002_a_1.jpg,T10_002,T10,5,1,a,2022-04-08 12:29:52,T10_d05_002_a_1
data/Avocado Ripening Dataset/T10_d05_002_b_1.jpg,T10_002,T10,5,1,b,2022-04-08 12:29:59,T10_d05_002_b_1
data/Avocado Ripening Dataset/T10_d06_002_a_1.jpg,T10_002,T10,6,1,a,2022-04-09 12:41:36,T10_d06_002_a_1
data/Avocado Ripening Dataset/T10_d06_002_b_1.jpg,T10_002,T10,6,1,b,2022-04-09 12:41:42,T10_d06_002_b_1
data/Avocado Ripening Dataset/T10_d07_002_a_1.jpg,T10_002,T10,7,1,a,2022-04-10 12:09:07,T10_d07_002_a_1
data/Avocado Ripening Dataset/T10_d07_002_b_1.jpg,T10_002,T10,7,1,b,2022-04-10 12:09:13,T10_d07_002_b_1
data/Avocado Ripening Dataset/T10_d08_002_a_2.jpg,T10_002,T10,8,2,a,2022-04-11 12:11:59,T10_d08_002_a_2
data/Avocado Ripening Dataset/T10_d08_002_b_2.jpg,T10_002,T10,8,2,b,2022-04-11 12:12:06,T10_d08_002_b_2
data/Avocado Ripening Dataset/T10_d09_002_a_2.jpg,T10_002,T10,9,2,a,2022-04-12 12:41:30,T10_d09_002_a_2
data/Avocado Ripening Dataset/T10_d09_002_b_2.jpg,T10_002,T10,9,2,b,2022-04-12 12:41:37,T10_d09_002_b_2
data/Avocado Ripening Dataset/T10_d10_002_a_2.jpg,T10_002,T10,10,2,a,2022-04-13 12:09:48,T10_d10_002_a_2
data/Avocado Ripening Dataset/T10_d10_002_b_2.jpg,T10_002,T10,10,2,b,2022-04-13 12:09:56,T10_d10_002_b_2
data/Avocado Ripening Dataset/T10_d11_002_a_3.jpg,T10_002,T10,11,3,a,2022-04-14 13:05:24,T10_d11_002_a_3
data/Avocado Ripening Dataset/T10_d11_002_b_3.jpg,T10_002,T10,11,3,b,2022-04-14 13:05:32,T10_d11_002_b_3
data/Avocado Ripening Dataset/T10_d12_002_a_3.jpg,T10_002,T10,12,3,a,2022-04-15 17:00:49,T10_d12_002_a_3
data/Avocado Ripening Dataset/T10_d12_002_b_3.jpg,T10_002,T10,12,3,b,2022-04-15 17:00:54,T10_d12_002_b_3
data/Avocado Ripening Dataset/T10_d13_002_a_3.jpg,T10_002,T10,13,3,a,2022-04-16 13:50:20,T10_d13_002_a_3
data/Avocado Ripening Dataset/T10_d13_002_b_3.jpg,T10_002,T10,13,3,b,2022-04-16 13:50:25,T10_d13_002_b_3
data/Avocado Ripening Dataset/T10_d14_002_a_4.jpg,T10_002,T10,14,4,a,2022-04-17 15:53:50,T10_d14_002_a_4
data/Avocado Ripening Dataset/T10_d14_002_b_4.jpg,T10_002,T10,14,4,b,2022-04-17 15:53:55,T10_d14_002_b_4
data/Avocado Ripening Dataset/T10_d15_002_a_4.jpg,T10_002,T10,15,4,a,2022-04-18 16:00:49,T10_d15_002_a_4
